HumanSays:,RobotSays:
HumanSays:,RobotSays:
What time is it?,getTIME
What time do you have?,getTIME
Got the time?,getTIME
When is it?,getTIME
What day is it?,getDATE
What is the date?,getDATE
Do you know what time it is?,getTIME
Do you have the time,getTIME
IDKnull,I don't know.
IDKnull,I'll need to take some time to think on that.
IDKnull,Can you try rephrasing that please?
IDKnull,I'm not sure about that.
IDKnull,Is there a different way you can ask that?
IDKnull,I don't have a response for that.
IDKnull,I will have to give that some thought.
IDKnull,I don't really know what you are asking.
IDKnull,There are some things I just don't know about yet.
IDKnull,I'm not an expert on that.
IDKnull,I could not tell you.
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What did you want to ask?
Nothing,Let's talk about something.
Nothing,One more time?
Who are you?,I am a ChatBot.
Who are you?,I am a Python powered ChatBot.
Who are you?,I am a ChatBot running on Python and a dash of artificial intelligence.
Hello,Hello World!
Hi,Hello World!
Greetings,Hello World!
Hey,Hello World!
What's up?,Hello World!
how to enroll as a transferee,"Firstly, you need to complete the admission procedures at https://apply.lspuonline.com"
transferee enrollment process,"Firstly, you need to complete the admission procedures at https://apply.lspuonline.com"
what is the enrollment process for transferees,"Firstly, you need to complete the admission procedures at https://apply.lspuonline.com"
enrollment process for transferee,"Firstly, you need to complete the admission procedures at https://apply.lspuonline.com"
steps in enrollment,"Firstly, you need to complete the admission procedures at https://apply.lspuonline.com"
How do transferees enroll,"Firstly, you need to complete the admission procedures at https://apply.lspuonline.com"
how to enroll if im a transferee student,"Firstly, you need to complete the admission procedures at https://apply.lspuonline.com"
how transferees can enroll,"Firstly, you need to complete the admission procedures at https://apply.lspuonline.com"
how to enroll,"Firstly, you need to complete the admission procedures at https://apply.lspuonline.com"
enrollment for transferee,"Firstly, you need to complete the admission procedures at https://apply.lspuonline.com"
process for enrollment,"Firstly, you need to complete the admission procedures at https://apply.lspuonline.com"
how do I start the enrollment process,"Firstly, you need to complete the admission procedures at https://apply.lspuonline.com"
when should I start for online admission,It will announce at the FB page of Office of the Registrar LSPU Sta. Cruz Campus https://www.facebook.com/LSPUSCCRegistrar
starting date for online admission,It will announce at the FB page of Office of the Registrar LSPU Sta. Cruz Campus https://www.facebook.com/LSPUSCCRegistrar
deadline for taking online admission procedure,It will announce at the FB page of Office of the Registrar LSPU Sta. Cruz Campus https://www.facebook.com/LSPUSCCRegistrar
Can I start online admission now,It will announce at the FB page of Office of the Registrar LSPU Sta. Cruz Campus https://www.facebook.com/LSPUSCCRegistrar
what are the important dates for enrollment,It will announce at the FB page of Office of the Registrar LSPU Sta. Cruz Campus https://www.facebook.com/LSPUSCCRegistrar
When does enrollment start,It will announce at the FB page of Office of the Registrar LSPU Sta. Cruz Campus https://www.facebook.com/LSPUSCCRegistrar
Is there an application fee,There is no application fee
Is there any fee upon enrolling,There is no application fee
what is the next steps after the admission procedure,Walk-in submission of enrollment requirements of qualified transferee at Office of the Registrar - Window 4
what next after I finish the admission procedure,Walk-in submission of enrollment requirements of qualified transferee at Office of the Registrar - Window 4
where should I submit the requirements,Open your account at https://apply.lspuonline.com
how to submit the requiremnets,Open your account at https://apply.lspuonline.com
submission of requirements,Open your account at https://apply.lspuonline.com
where to submit the requirements for online admission procedure,Open your account at https://apply.lspuonline.com
what is the process for transferring my child to your college,"Firstly, complete the admission procedures at https://apply.lspuonline.com"
where I can found the link for online admision,Here is the link for online admission https://apply.lspuonline.com
link for online admision,Here is the link for online admission https://apply.lspuonline.com
do you have link for online admission,Here is the link for online admission https://apply.lspuonline.com
online admission link,Here is the link for online admission https://apply.lspuonline.com
How much time would it take to evaluate a transfer,It can take several weeks to complete the transfer review procedure at LSPU-SCC. The actual time can vary based on the amount of transfer applications and the amount of detail of the assessment that is necessary.
The length of time would the transfer evaluation process take,It can take several weeks to complete the transfer review procedure at LSPU-SCC. The actual time can vary based on the amount of transfer applications and the amount of detail of the assessment that is necessary.
